door_state,label,type,hour,minute,second,delta_time,weekday,door_state_encoded
open,0,normal,14,6,35,10.0,1,1
open,0,normal,14,6,35,0.0,1,1
closed,0,normal,14,6,40,5.0,1,0
closed,0,normal,14,6,40,0.0,1,0
closed,0,normal,14,6,46,6.0,1,0
closed,0,normal,14,6,46,0.0,1,0
open,0,normal,14,6,54,8.0,1,1
open,0,normal,14,6,54,0.0,1,1
open,0,normal,14,7,2,8.0,1,1
open,0,normal,14,7,2,0.0,1,1
closed,0,normal,14,7,11,9.0,1,0
closed,0,normal,14,7,11,0.0,1,0
open,0,normal,14,7,16,5.0,1,1
open,0,normal,14,7,16,0.0,1,1
closed,0,normal,14,7,26,10.0,1,0
closed,0,normal,14,7,26,0.0,1,0
closed,0,normal,14,17,38,612.0,1,0
closed,0,normal,14,17,38,0.0,1,0
closed,0,normal,14,18,2,24.0,1,0
closed,0,normal,14,18,2,0.0,1,0
closed,0,normal,14,18,22,20.0,1,0
closed,0,normal,14,18,22,0.0,1,0
closed,0,normal,14,18,31,9.0,1,0
closed,0,normal,14,18,31,0.0,1,0
closed,0,normal,14,18,37,6.0,1,0
closed,0,normal,14,18,37,0.0,1,0
closed,0,normal,14,18,57,20.0,1,0
closed,0,normal,14,18,57,0.0,1,0
open,0,normal,14,19,14,17.0,1,1
open,0,normal,14,19,14,0.0,1,1
closed,0,normal,14,19,24,10.0,1,0
closed,0,normal,14,19,24,0.0,1,0
closed,0,normal,14,19,38,14.0,1,0
closed,0,normal,14,19,38,0.0,1,0
open,0,normal,14,19,57,19.0,1,1
open,0,normal,14,19,57,0.0,1,1
closed,0,normal,14,20,36,39.0,1,0
closed,0,normal,14,20,36,0.0,1,0
closed,0,normal,14,21,8,32.0,1,0
closed,0,normal,14,21,8,0.0,1,0
closed,0,normal,14,21,52,44.0,1,0
closed,0,normal,14,21,52,0.0,1,0
closed,0,normal,14,22,22,30.0,1,0
closed,0,normal,14,22,22,0.0,1,0
closed,0,normal,14,23,5,43.0,1,0
closed,0,normal,14,23,5,0.0,1,0
open,0,normal,14,23,54,49.0,1,1
open,0,normal,14,23,54,0.0,1,1
closed,0,normal,14,24,26,32.0,1,0
closed,0,normal,14,24,26,0.0,1,0
open,0,normal,14,24,58,32.0,1,1
open,0,normal,14,24,58,0.0,1,1
closed,0,normal,14,25,46,48.0,1,0
closed,0,normal,14,25,46,0.0,1,0
closed,0,normal,14,26,45,59.0,1,0
closed,0,normal,14,26,45,0.0,1,0
closed,0,normal,14,27,43,58.0,1,0
closed,0,normal,14,27,43,0.0,1,0
closed,0,normal,14,28,42,59.0,1,0
closed,0,normal,14,28,42,0.0,1,0
closed,0,normal,14,29,27,45.0,1,0
closed,0,normal,14,29,27,0.0,1,0
closed,0,normal,14,30,0,33.0,1,0
closed,0,normal,14,30,0,0.0,1,0
open,0,normal,14,30,43,43.0,1,1
open,0,normal,14,30,43,0.0,1,1
closed,0,normal,14,31,43,60.0,1,0
closed,0,normal,14,31,43,0.0,1,0
closed,0,normal,14,32,18,35.0,1,0
closed,0,normal,14,32,18,0.0,1,0
closed,0,normal,14,33,10,52.0,1,0
closed,0,normal,14,33,10,0.0,1,0
closed,0,normal,14,33,48,38.0,1,0
closed,0,normal,14,33,48,0.0,1,0
open,0,normal,14,34,20,32.0,1,1
open,0,normal,14,34,20,0.0,1,1
open,0,normal,14,34,54,34.0,1,1
open,0,normal,14,34,54,0.0,1,1
open,0,normal,14,35,20,26.0,1,1
open,0,normal,14,35,20,0.0,1,1
open,0,normal,14,35,36,16.0,1,1
open,0,normal,14,35,36,0.0,1,1
closed,0,normal,14,35,55,19.0,1,0
closed,0,normal,14,35,55,0.0,1,0
open,0,normal,14,36,10,15.0,1,1
open,0,normal,14,36,10,0.0,1,1
open,0,normal,14,36,33,23.0,1,1
open,0,normal,14,36,33,0.0,1,1
open,0,normal,14,36,54,21.0,1,1
open,0,normal,14,36,54,0.0,1,1
closed,0,normal,14,37,8,14.0,1,0
closed,0,normal,14,37,8,0.0,1,0
closed,0,normal,14,37,38,30.0,1,0
closed,0,normal,14,37,38,0.0,1,0
open,0,normal,14,37,48,10.0,1,1
open,0,normal,14,37,48,0.0,1,1
closed,0,normal,14,38,13,25.0,1,0
closed,0,normal,14,38,13,0.0,1,0
open,0,normal,14,38,33,20.0,1,1
open,0,normal,14,38,33,0.0,1,1
open,0,normal,14,38,44,11.0,1,1
open,0,normal,14,38,44,0.0,1,1
open,0,normal,14,39,6,22.0,1,1
open,0,normal,14,39,6,0.0,1,1
closed,0,normal,14,39,27,21.0,1,0
closed,0,normal,14,39,27,0.0,1,0
closed,0,normal,14,39,48,21.0,1,0
closed,0,normal,14,39,48,0.0,1,0
open,0,normal,14,40,9,21.0,1,1
open,0,normal,14,40,9,0.0,1,1
open,0,normal,14,40,27,18.0,1,1
open,0,normal,14,40,27,0.0,1,1
closed,0,normal,14,40,56,29.0,1,0
closed,0,normal,14,40,56,0.0,1,0
open,0,normal,14,41,18,22.0,1,1
open,0,normal,14,41,18,0.0,1,1
open,0,normal,14,41,43,25.0,1,1
open,0,normal,14,41,43,0.0,1,1
closed,0,normal,14,42,8,25.0,1,0
closed,0,normal,14,42,8,0.0,1,0
closed,0,normal,14,42,18,10.0,1,0
closed,0,normal,14,42,18,0.0,1,0
open,0,normal,14,42,28,10.0,1,1
open,0,normal,14,42,28,0.0,1,1
closed,0,normal,14,42,53,25.0,1,0
closed,0,normal,14,42,53,0.0,1,0
closed,0,normal,14,43,11,18.0,1,0
closed,0,normal,14,43,11,0.0,1,0
closed,0,normal,14,43,28,17.0,1,0
closed,0,normal,14,43,28,0.0,1,0
open,0,normal,14,43,52,24.0,1,1
open,0,normal,14,43,52,0.0,1,1
closed,0,normal,14,44,2,10.0,1,0
closed,0,normal,14,44,2,0.0,1,0
open,0,normal,14,44,31,29.0,1,1
open,0,normal,14,44,31,0.0,1,1
open,0,normal,14,44,41,10.0,1,1
open,0,normal,14,44,41,0.0,1,1
open,0,normal,14,44,59,18.0,1,1
open,0,normal,14,44,59,0.0,1,1
closed,0,normal,14,45,22,23.0,1,0
closed,0,normal,14,45,22,0.0,1,0
closed,0,normal,14,45,33,11.0,1,0
closed,0,normal,14,45,33,0.0,1,0
closed,0,normal,14,45,44,11.0,1,0
closed,0,normal,14,45,44,0.0,1,0
closed,0,normal,14,45,57,13.0,1,0
closed,0,normal,14,45,57,0.0,1,0
closed,0,normal,14,46,27,30.0,1,0
closed,0,normal,14,46,27,0.0,1,0
closed,0,normal,14,46,57,30.0,1,0
closed,0,normal,14,46,57,0.0,1,0
open,0,normal,14,47,20,23.0,1,1
open,0,normal,14,47,20,0.0,1,1
open,0,normal,14,47,36,16.0,1,1
open,0,normal,14,47,36,0.0,1,1
closed,0,normal,14,47,49,13.0,1,0
closed,0,normal,14,47,49,0.0,1,0
closed,0,normal,14,48,18,29.0,1,0
closed,0,normal,14,48,18,0.0,1,0
closed,0,normal,14,48,33,15.0,1,0
closed,0,normal,14,48,33,0.0,1,0
open,0,normal,14,48,49,16.0,1,1
open,0,normal,14,48,49,0.0,1,1
closed,0,normal,14,49,10,21.0,1,0
closed,0,normal,14,49,10,0.0,1,0
closed,0,normal,14,49,27,17.0,1,0
closed,0,normal,14,49,27,0.0,1,0
closed,0,normal,14,49,54,27.0,1,0
closed,0,normal,14,49,54,0.0,1,0
open,0,normal,14,50,24,30.0,1,1
open,0,normal,14,50,24,0.0,1,1
closed,0,normal,14,50,36,12.0,1,0
closed,0,normal,14,50,36,0.0,1,0
open,0,normal,14,51,2,26.0,1,1
open,0,normal,14,51,2,0.0,1,1
open,0,normal,14,51,27,25.0,1,1
open,0,normal,14,51,27,0.0,1,1
open,0,normal,14,51,42,15.0,1,1
open,0,normal,14,51,42,0.0,1,1
open,0,normal,14,52,9,27.0,1,1
open,0,normal,14,52,9,0.0,1,1
open,0,normal,14,52,29,20.0,1,1
open,0,normal,14,52,29,0.0,1,1
closed,0,normal,14,52,59,30.0,1,0
closed,0,normal,14,52,59,0.0,1,0
closed,0,normal,14,53,20,21.0,1,0
closed,0,normal,14,53,20,0.0,1,0
closed,0,normal,14,53,48,28.0,1,0
closed,0,normal,14,53,48,0.0,1,0
open,0,normal,14,54,1,13.0,1,1
open,0,normal,14,54,1,0.0,1,1
closed,0,normal,14,54,24,23.0,1,0
closed,0,normal,14,54,24,0.0,1,0
closed,0,normal,14,54,38,14.0,1,0
closed,0,normal,14,54,38,0.0,1,0
open,0,normal,14,54,57,19.0,1,1
open,0,normal,14,54,57,0.0,1,1
open,0,normal,14,55,26,29.0,1,1
open,0,normal,14,55,26,0.0,1,1
open,0,normal,14,55,37,11.0,1,1
open,0,normal,14,55,37,0.0,1,1
open,0,normal,14,56,0,23.0,1,1
open,0,normal,14,56,0,0.0,1,1
closed,0,normal,14,56,28,28.0,1,0
closed,0,normal,14,56,28,0.0,1,0
closed,0,normal,14,56,50,22.0,1,0
closed,0,normal,14,56,50,0.0,1,0
closed,0,normal,14,57,13,23.0,1,0
closed,0,normal,14,57,13,0.0,1,0
open,0,normal,14,57,25,12.0,1,1
open,0,normal,14,57,25,0.0,1,1
open,0,normal,14,57,35,10.0,1,1
open,0,normal,14,57,35,0.0,1,1
closed,0,normal,14,58,0,25.0,1,0
closed,0,normal,14,58,0,0.0,1,0
open,0,normal,14,58,22,22.0,1,1
open,0,normal,14,58,22,0.0,1,1
open,0,normal,14,58,38,16.0,1,1
open,0,normal,14,58,38,0.0,1,1
open,0,normal,14,58,56,18.0,1,1
open,0,normal,14,58,56,0.0,1,1
closed,0,normal,14,59,9,13.0,1,0
closed,0,normal,14,59,9,0.0,1,0
open,0,normal,14,59,29,20.0,1,1
open,0,normal,14,59,29,0.0,1,1
closed,0,normal,14,59,51,22.0,1,0
closed,0,normal,14,59,51,0.0,1,0
open,0,normal,15,0,13,22.0,1,1
open,0,normal,15,0,13,0.0,1,1
closed,0,normal,15,0,26,13.0,1,0
closed,0,normal,15,0,26,0.0,1,0
closed,0,normal,15,0,39,13.0,1,0
closed,0,normal,15,0,39,0.0,1,0
open,0,normal,15,1,4,25.0,1,1
open,0,normal,15,1,4,0.0,1,1
open,0,normal,15,1,27,23.0,1,1
open,0,normal,15,1,27,0.0,1,1
open,0,normal,15,1,50,23.0,1,1
open,0,normal,15,1,50,0.0,1,1
open,0,normal,15,2,7,17.0,1,1
open,0,normal,15,2,7,0.0,1,1
closed,0,normal,15,2,28,21.0,1,0
closed,0,normal,15,2,28,0.0,1,0
closed,0,normal,15,2,43,15.0,1,0
closed,0,normal,15,2,43,0.0,1,0
open,0,normal,15,3,0,17.0,1,1
open,0,normal,15,3,0,0.0,1,1
open,0,normal,17,14,44,7904.0,1,1
open,0,normal,17,14,44,0.0,1,1
open,0,normal,17,14,58,14.0,1,1
open,0,normal,17,14,58,0.0,1,1
closed,0,normal,17,15,16,18.0,1,0
closed,0,normal,17,15,16,0.0,1,0
closed,0,normal,17,15,26,10.0,1,0
closed,0,normal,17,15,26,0.0,1,0
open,0,normal,17,15,53,27.0,1,1
open,0,normal,17,15,53,0.0,1,1
closed,0,normal,17,16,19,26.0,1,0
closed,0,normal,17,16,19,0.0,1,0
closed,0,normal,17,16,49,30.0,1,0
closed,0,normal,17,16,49,0.0,1,0
closed,0,normal,17,17,2,13.0,1,0
closed,0,normal,17,17,2,0.0,1,0
open,0,normal,17,17,21,19.0,1,1
open,0,normal,17,17,21,0.0,1,1
open,0,normal,17,17,34,13.0,1,1
open,0,normal,17,17,34,0.0,1,1
open,0,normal,17,18,3,29.0,1,1
open,0,normal,17,18,3,0.0,1,1
open,0,normal,17,18,13,10.0,1,1
open,0,normal,17,18,13,0.0,1,1
closed,0,normal,17,18,26,13.0,1,0
closed,0,normal,17,18,26,0.0,1,0
open,0,normal,17,18,45,19.0,1,1
open,0,normal,17,18,45,0.0,1,1
closed,0,normal,17,19,26,41.0,1,0
closed,0,normal,17,19,26,0.0,1,0
closed,0,normal,17,19,59,33.0,1,0
closed,0,normal,17,19,59,0.0,1,0
open,0,normal,17,20,52,53.0,1,1
open,0,normal,17,20,52,0.0,1,1
closed,0,normal,17,21,45,53.0,1,0
closed,0,normal,17,21,45,0.0,1,0
closed,0,normal,17,22,41,56.0,1,0
closed,0,normal,17,22,41,0.0,1,0
open,0,normal,17,23,31,50.0,1,1
open,0,normal,17,23,31,0.0,1,1
closed,0,normal,17,24,2,31.0,1,0
closed,0,normal,17,24,2,0.0,1,0
closed,0,normal,17,24,56,54.0,1,0
closed,0,normal,17,24,56,0.0,1,0
closed,0,normal,17,25,56,60.0,1,0
closed,0,normal,17,25,56,0.0,1,0
open,0,normal,17,26,29,33.0,1,1
open,0,normal,17,26,29,0.0,1,1
closed,0,normal,17,27,0,31.0,1,0
closed,0,normal,17,27,0,0.0,1,0
open,0,normal,17,27,50,50.0,1,1
open,0,normal,17,27,50,0.0,1,1
closed,0,normal,17,28,42,52.0,1,0
closed,0,normal,17,28,42,0.0,1,0
open,0,normal,17,29,35,53.0,1,1
open,0,normal,17,29,35,0.0,1,1
closed,0,normal,17,30,23,48.0,1,0
closed,0,normal,17,30,23,0.0,1,0
closed,0,normal,17,31,0,37.0,1,0
closed,0,normal,17,31,0,0.0,1,0
open,0,normal,17,31,40,40.0,1,1
open,0,normal,17,31,40,0.0,1,1
closed,0,normal,17,32,16,36.0,1,0
closed,0,normal,17,32,16,0.0,1,0
closed,0,normal,17,33,6,50.0,1,0
closed,0,normal,17,33,6,0.0,1,0
open,0,normal,17,34,6,60.0,1,1
open,0,normal,17,34,6,0.0,1,1
open,0,normal,17,35,0,54.0,1,1
open,0,normal,17,35,0,0.0,1,1
open,0,normal,17,35,39,39.0,1,1
open,0,normal,17,35,39,0.0,1,1
open,0,normal,17,36,25,46.0,1,1
open,0,normal,17,36,25,0.0,1,1
open,0,normal,17,37,2,37.0,1,1
open,0,normal,17,37,2,0.0,1,1
closed,0,normal,17,37,45,43.0,1,0
closed,0,normal,17,37,45,0.0,1,0
closed,0,normal,17,38,38,53.0,1,0
closed,0,normal,17,38,39,1.0,1,0
open,0,normal,17,39,23,44.0,1,1
open,0,normal,17,39,23,0.0,1,1
open,0,normal,17,40,22,59.0,1,1
open,0,normal,17,40,22,0.0,1,1
open,0,normal,17,41,1,39.0,1,1
open,0,normal,17,41,1,0.0,1,1
open,0,normal,17,41,32,31.0,1,1
open,0,normal,17,41,32,0.0,1,1
open,0,normal,17,42,3,31.0,1,1
open,0,normal,17,42,3,0.0,1,1
closed,0,normal,17,42,41,38.0,1,0
closed,0,normal,17,42,41,0.0,1,0
closed,0,normal,17,43,30,49.0,1,0
closed,0,normal,17,43,30,0.0,1,0
open,0,normal,17,44,16,46.0,1,1
open,0,normal,17,44,16,0.0,1,1
open,0,normal,17,44,54,38.0,1,1
open,0,normal,17,44,54,0.0,1,1
closed,0,normal,17,45,54,60.0,1,0
closed,0,normal,17,45,54,0.0,1,0
open,0,normal,17,46,33,39.0,1,1
open,0,normal,17,46,33,0.0,1,1
closed,0,normal,17,47,26,53.0,1,0
closed,0,normal,17,47,26,0.0,1,0
closed,0,normal,17,48,6,40.0,1,0
closed,0,normal,17,48,6,0.0,1,0
open,0,normal,17,48,49,43.0,1,1
open,0,normal,17,48,49,0.0,1,1
closed,0,normal,17,49,21,32.0,1,0
closed,0,normal,17,49,21,0.0,1,0
open,0,normal,17,50,18,57.0,1,1
open,0,normal,17,50,18,0.0,1,1
open,0,normal,17,51,7,49.0,1,1
open,0,normal,17,51,7,0.0,1,1
closed,0,normal,17,51,43,36.0,1,0
closed,0,normal,17,51,43,0.0,1,0
closed,0,normal,17,52,30,47.0,1,0
closed,0,normal,17,52,30,0.0,1,0
closed,0,normal,17,53,6,36.0,1,0
closed,0,normal,17,53,6,0.0,1,0
closed,0,normal,17,53,36,30.0,1,0
closed,0,normal,17,53,36,0.0,1,0
closed,0,normal,17,54,29,53.0,1,0
closed,0,normal,17,54,29,0.0,1,0
closed,0,normal,17,55,22,53.0,1,0
closed,0,normal,17,55,22,0.0,1,0
open,0,normal,17,55,52,30.0,1,1
open,0,normal,17,55,52,0.0,1,1
closed,0,normal,17,56,36,44.0,1,0
closed,0,normal,17,56,36,0.0,1,0
closed,0,normal,17,57,26,50.0,1,0
closed,0,normal,17,57,26,0.0,1,0
closed,0,normal,17,58,5,39.0,1,0
closed,0,normal,17,58,5,0.0,1,0
closed,0,normal,17,58,36,31.0,1,0
closed,0,normal,17,58,36,0.0,1,0
open,0,normal,17,59,34,58.0,1,1
open,0,normal,17,59,34,0.0,1,1
closed,0,normal,18,0,6,32.0,1,0
closed,0,normal,18,0,6,0.0,1,0
closed,0,normal,18,0,55,49.0,1,0
closed,0,normal,18,0,55,0.0,1,0
open,0,normal,18,1,55,60.0,1,1
open,0,normal,18,1,55,0.0,1,1
closed,0,normal,18,2,42,47.0,1,0
closed,0,normal,18,2,42,0.0,1,0
open,0,normal,18,3,12,30.0,1,1
open,0,normal,18,3,12,0.0,1,1
closed,0,normal,18,4,8,56.0,1,0
closed,0,normal,18,4,8,0.0,1,0
open,0,normal,18,5,4,56.0,1,1
open,0,normal,18,5,4,0.0,1,1
open,0,normal,18,5,39,35.0,1,1
open,0,normal,18,5,39,0.0,1,1
open,0,normal,18,6,21,42.0,1,1
open,0,normal,18,6,21,0.0,1,1
open,0,normal,18,7,6,45.0,1,1
open,0,normal,18,7,6,0.0,1,1
open,0,normal,18,8,1,55.0,1,1
open,0,normal,18,8,1,0.0,1,1
closed,0,normal,18,8,31,30.0,1,0
closed,0,normal,18,8,31,0.0,1,0
closed,0,normal,18,9,17,46.0,1,0
closed,0,normal,18,9,17,0.0,1,0
closed,0,normal,18,10,3,46.0,1,0
closed,0,normal,18,10,3,0.0,1,0
open,0,normal,18,10,40,37.0,1,1
open,0,normal,18,10,40,0.0,1,1
open,0,normal,18,11,40,60.0,1,1
open,0,normal,18,11,40,0.0,1,1
closed,0,normal,18,12,27,47.0,1,0
closed,0,normal,18,12,27,0.0,1,0
closed,0,normal,18,12,59,32.0,1,0
closed,0,normal,18,12,59,0.0,1,0
open,0,normal,18,13,29,30.0,1,1
open,0,normal,18,13,29,0.0,1,1
closed,0,normal,18,14,20,51.0,1,0
closed,0,normal,18,14,20,0.0,1,0
open,0,normal,18,14,50,30.0,1,1
open,0,normal,18,14,50,0.0,1,1
open,0,normal,18,15,35,45.0,1,1
open,0,normal,18,15,35,0.0,1,1
closed,0,normal,18,16,31,56.0,1,0
closed,0,normal,18,16,31,0.0,1,0
closed,0,normal,18,17,8,37.0,1,0
closed,0,normal,18,17,8,0.0,1,0
open,0,normal,18,17,45,37.0,1,1
open,0,normal,18,17,45,0.0,1,1
closed,0,normal,18,18,42,57.0,1,0
closed,0,normal,18,18,42,0.0,1,0
open,0,normal,18,19,41,59.0,1,1
open,0,normal,18,19,41,0.0,1,1
closed,0,normal,18,20,12,31.0,1,0
closed,0,normal,18,20,12,0.0,1,0
open,0,normal,18,20,51,39.0,1,1
open,0,normal,18,20,51,0.0,1,1
open,0,normal,18,21,30,39.0,1,1
open,0,normal,18,21,30,0.0,1,1
open,0,normal,18,22,17,47.0,1,1
open,0,normal,18,22,17,0.0,1,1
closed,0,normal,18,22,49,32.0,1,0
closed,0,normal,18,22,49,0.0,1,0
closed,0,normal,18,23,19,30.0,1,0
closed,0,normal,18,23,19,0.0,1,0
closed,0,normal,18,24,12,53.0,1,0
closed,0,normal,18,24,12,0.0,1,0
open,0,normal,18,25,11,59.0,1,1
open,0,normal,18,25,11,0.0,1,1
open,0,normal,18,26,4,53.0,1,1
open,0,normal,18,26,4,0.0,1,1
open,0,normal,18,26,56,52.0,1,1
open,0,normal,18,26,56,0.0,1,1
open,0,normal,18,27,44,48.0,1,1
open,0,normal,18,27,44,0.0,1,1
closed,0,normal,18,28,33,49.0,1,0
closed,0,normal,18,28,33,0.0,1,0
open,0,normal,18,29,32,59.0,1,1
open,0,normal,18,29,32,0.0,1,1
open,0,normal,18,30,10,38.0,1,1
open,0,normal,18,30,10,0.0,1,1
open,0,normal,18,30,52,42.0,1,1
open,0,normal,18,30,52,0.0,1,1
open,0,normal,18,31,33,41.0,1,1
open,0,normal,18,31,33,0.0,1,1
open,0,normal,18,32,9,36.0,1,1
open,0,normal,18,32,9,0.0,1,1
open,0,normal,18,32,41,32.0,1,1
open,0,normal,18,32,41,0.0,1,1
open,0,normal,18,33,22,41.0,1,1
open,0,normal,18,33,22,0.0,1,1
closed,0,normal,18,33,55,33.0,1,0
closed,0,normal,18,33,55,0.0,1,0
open,0,normal,18,34,32,37.0,1,1
open,0,normal,18,34,32,0.0,1,1
open,0,normal,18,35,25,53.0,1,1
open,0,normal,18,35,25,0.0,1,1
closed,0,normal,18,36,17,52.0,1,0
closed,0,normal,18,36,17,0.0,1,0
open,0,normal,18,37,17,60.0,1,1
open,0,normal,18,37,17,0.0,1,1
open,0,normal,18,38,10,53.0,1,1
open,0,normal,18,38,10,0.0,1,1
open,0,normal,18,38,50,40.0,1,1
open,0,normal,18,38,50,0.0,1,1
closed,0,normal,18,39,47,57.0,1,0
closed,0,normal,18,39,47,0.0,1,0
closed,0,normal,18,40,20,33.0,1,0
closed,0,normal,18,40,20,0.0,1,0
open,0,normal,18,41,4,44.0,1,1
open,0,normal,18,41,4,0.0,1,1
open,0,normal,18,41,40,36.0,1,1
open,0,normal,18,41,40,0.0,1,1
open,0,normal,18,42,29,49.0,1,1
open,0,normal,18,42,29,0.0,1,1
closed,0,normal,18,43,24,55.0,1,0
closed,0,normal,18,43,24,0.0,1,0
closed,0,normal,18,43,57,33.0,1,0
closed,0,normal,18,43,57,0.0,1,0
closed,0,normal,18,44,39,42.0,1,0
closed,0,normal,18,44,39,0.0,1,0
open,0,normal,18,45,14,35.0,1,1
open,0,normal,18,45,14,0.0,1,1
closed,0,normal,18,46,2,48.0,1,0
closed,0,normal,18,46,2,0.0,1,0
open,0,normal,18,46,57,55.0,1,1
open,0,normal,18,46,57,0.0,1,1
open,0,normal,18,47,36,39.0,1,1
open,0,normal,18,47,36,0.0,1,1
open,0,normal,18,48,13,37.0,1,1
open,0,normal,18,48,13,0.0,1,1
open,0,normal,18,49,6,53.0,1,1
open,0,normal,18,49,6,0.0,1,1
open,0,normal,18,49,39,33.0,1,1
open,0,normal,18,49,39,0.0,1,1
closed,0,normal,18,50,32,53.0,1,0
closed,0,normal,18,50,32,0.0,1,0
closed,0,normal,18,51,30,58.0,1,0
closed,0,normal,18,51,30,0.0,1,0
closed,0,normal,18,52,17,47.0,1,0
closed,0,normal,18,52,17,0.0,1,0
closed,0,normal,18,53,11,54.0,1,0
closed,0,normal,18,53,11,0.0,1,0
open,0,normal,18,54,9,58.0,1,1
open,0,normal,18,54,9,0.0,1,1
closed,0,normal,18,54,55,46.0,1,0
closed,0,normal,18,54,55,0.0,1,0
closed,0,normal,18,55,50,55.0,1,0
closed,0,normal,18,55,50,0.0,1,0
closed,0,normal,18,56,49,59.0,1,0
closed,0,normal,18,56,49,0.0,1,0
closed,0,normal,18,57,30,41.0,1,0
closed,0,normal,18,57,30,0.0,1,0
open,0,normal,18,58,6,36.0,1,1
open,0,normal,18,58,6,0.0,1,1
open,0,normal,18,58,48,42.0,1,1
open,0,normal,18,58,48,0.0,1,1
closed,0,normal,18,59,46,58.0,1,0
closed,0,normal,18,59,46,0.0,1,0
open,0,normal,19,0,39,53.0,1,1
open,0,normal,19,0,39,0.0,1,1
open,0,normal,19,0,39,0.0,1,1
open,0,normal,19,0,39,0.0,1,1
closed,0,normal,19,1,19,40.0,1,0
closed,0,normal,19,1,19,0.0,1,0
closed,0,normal,19,1,19,0.0,1,0
closed,0,normal,19,1,19,0.0,1,0
open,0,normal,19,2,3,44.0,1,1
open,0,normal,19,2,3,0.0,1,1
open,0,normal,19,2,3,0.0,1,1
open,0,normal,19,2,3,0.0,1,1
closed,0,normal,19,2,55,52.0,1,0
closed,0,normal,19,2,55,0.0,1,0
closed,0,normal,19,2,55,0.0,1,0
closed,0,normal,19,2,55,0.0,1,0
closed,0,normal,19,3,27,32.0,1,0
closed,0,normal,19,3,27,0.0,1,0
closed,0,normal,19,3,27,0.0,1,0
closed,0,normal,19,3,27,0.0,1,0
closed,0,normal,19,4,9,42.0,1,0
closed,0,normal,19,4,9,0.0,1,0
closed,0,normal,19,4,9,0.0,1,0
