"@timestamp","alert.signature","event_type","mqtt.publish.topic","mqtt.publish.message","src_ip","mqtt.connect.client_id"
"Apr 28, 2025 @ 20:46:47.829","-",mqtt,"iot/sensor/temperatura","24.61","192.168.1.2","-"
"Apr 28, 2025 @ 20:46:08.809","-",mqtt,"iot/sensor/temperatura","29.96","192.168.1.2","-"
"Apr 28, 2025 @ 20:45:31.781","-",mqtt,"iot/sensor/temperatura","27.25","192.168.1.2","-"
"Apr 28, 2025 @ 20:45:08.767","-",mqtt,"iot/sensor/temperatura","21.81","192.168.1.2","-"
"Apr 28, 2025 @ 20:44:39.752","-",mqtt,"iot/sensor/temperatura","19.65","192.168.1.2","-"
"Apr 28, 2025 @ 20:44:16.739","-",mqtt,"iot/sensor/temperatura","27.6","192.168.1.2","-"
"Apr 28, 2025 @ 20:43:50.725","-",mqtt,"iot/sensor/temperatura","18.09","192.168.1.2","-"
"Apr 28, 2025 @ 20:43:22.709","-",mqtt,"iot/sensor/temperatura","29.84","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.198","-",mqtt,"iot/sensor/temperatura","24.04","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.197","-",mqtt,"iot/sensor/temperatura","24.14","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.196","-",mqtt,"iot/sensor/temperatura","18.34","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.194","-",mqtt,"iot/sensor/temperatura","19.05","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.193","-",mqtt,"iot/sensor/temperatura","24.21","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.191","-",mqtt,"iot/sensor/temperatura","28.31","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.190","-",mqtt,"iot/sensor/temperatura","27.95","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.188","-",mqtt,"iot/sensor/temperatura","19.19","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.188","-",mqtt,"iot/sensor/temperatura","18.33","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.186","-",mqtt,"iot/sensor/temperatura","19.95","192.168.1.2","-"
"Apr 28, 2025 @ 19:19:57.185","-",mqtt,"iot/sensor/temperatura","24.16","192.168.1.2","-"
"Apr 26, 2025 @ 05:13:47.008","-",mqtt,"iot/sensor/temperatura","24.61","192.168.1.2","-"
"Apr 26, 2025 @ 05:13:47.008","-",mqtt,"iot/sensor/temperatura","24.61","192.168.1.2","-"
"Apr 26, 2025 @ 05:13:23.997","-",mqtt,"iot/sensor/temperatura","27.18","192.168.1.2","-"
"Apr 26, 2025 @ 05:13:23.997","-",mqtt,"iot/sensor/temperatura","27.18","192.168.1.2","-"
"Apr 26, 2025 @ 05:12:55.984","-",mqtt,"iot/sensor/temperatura","25.92","192.168.1.2","-"
"Apr 26, 2025 @ 05:12:55.984","-",mqtt,"iot/sensor/temperatura","25.92","192.168.1.2","-"
"Apr 26, 2025 @ 05:12:30.972","-",mqtt,"iot/sensor/temperatura","18.17","192.168.1.2","-"
"Apr 26, 2025 @ 05:12:30.972","-",mqtt,"iot/sensor/temperatura","18.17","192.168.1.2","-"
"Apr 26, 2025 @ 05:12:06.961","-",mqtt,"iot/sensor/temperatura","22.54","192.168.1.2","-"
"Apr 26, 2025 @ 05:12:06.961","-",mqtt,"iot/sensor/temperatura","22.54","192.168.1.2","-"
"Apr 26, 2025 @ 05:11:41.949","-",mqtt,"iot/sensor/temperatura","29.32","192.168.1.2","-"
"Apr 26, 2025 @ 05:11:41.949","-",mqtt,"iot/sensor/temperatura","29.32","192.168.1.2","-"
"Apr 26, 2025 @ 05:11:18.937","-",mqtt,"iot/sensor/temperatura","22.05","192.168.1.2","-"
"Apr 26, 2025 @ 05:11:18.937","-",mqtt,"iot/sensor/temperatura","22.05","192.168.1.2","-"
"Apr 26, 2025 @ 05:10:40.918","-",mqtt,"iot/sensor/temperatura","28.76","192.168.1.2","-"
"Apr 26, 2025 @ 05:10:40.918","-",mqtt,"iot/sensor/temperatura","28.76","192.168.1.2","-"
"Apr 26, 2025 @ 05:10:18.910","-",mqtt,"iot/sensor/temperatura","28.48","192.168.1.2","-"
"Apr 26, 2025 @ 05:10:18.910","-",mqtt,"iot/sensor/temperatura","28.48","192.168.1.2","-"
"Apr 26, 2025 @ 05:09:39.895","-",mqtt,"iot/sensor/temperatura","27.72","192.168.1.2","-"
"Apr 26, 2025 @ 05:09:39.895","-",mqtt,"iot/sensor/temperatura","27.72","192.168.1.2","-"
"Apr 26, 2025 @ 05:09:13.884","-",mqtt,"iot/sensor/temperatura","27.81","192.168.1.2","-"
"Apr 26, 2025 @ 05:09:13.884","-",mqtt,"iot/sensor/temperatura","27.81","192.168.1.2","-"
"Apr 26, 2025 @ 05:08:47.874","-",mqtt,"iot/sensor/temperatura","19.19","192.168.1.2","-"
"Apr 26, 2025 @ 05:08:47.874","-",mqtt,"iot/sensor/temperatura","19.19","192.168.1.2","-"
"Apr 26, 2025 @ 05:08:22.864","-",mqtt,"iot/sensor/temperatura","21.8","192.168.1.2","-"
"Apr 26, 2025 @ 05:08:22.864","-",mqtt,"iot/sensor/temperatura","21.8","192.168.1.2","-"
"Apr 26, 2025 @ 05:07:52.851","-",mqtt,"iot/sensor/temperatura","24.42","192.168.1.2","-"
"Apr 26, 2025 @ 05:07:52.851","-",mqtt,"iot/sensor/temperatura","24.42","192.168.1.2","-"
"Apr 26, 2025 @ 05:07:20.840","-",mqtt,"iot/sensor/temperatura","26.28","192.168.1.2","-"
"Apr 26, 2025 @ 05:07:20.840","-",mqtt,"iot/sensor/temperatura","26.28","192.168.1.2","-"
"Apr 26, 2025 @ 05:06:46.827","-",mqtt,"iot/sensor/temperatura","29.82","192.168.1.2","-"
"Apr 26, 2025 @ 05:06:46.827","-",mqtt,"iot/sensor/temperatura","29.82","192.168.1.2","-"
"Apr 26, 2025 @ 05:06:09.814","-",mqtt,"iot/sensor/temperatura","20.97","192.168.1.2","-"
"Apr 26, 2025 @ 05:06:09.814","-",mqtt,"iot/sensor/temperatura","20.97","192.168.1.2","-"
"Apr 26, 2025 @ 05:05:38.802","-",mqtt,"iot/sensor/temperatura","29.89","192.168.1.2","-"
"Apr 26, 2025 @ 05:05:38.802","-",mqtt,"iot/sensor/temperatura","29.89","192.168.1.2","-"
"Apr 26, 2025 @ 05:05:17.796","-",mqtt,"iot/sensor/temperatura","21.1","192.168.1.2","-"
"Apr 26, 2025 @ 05:05:17.796","-",mqtt,"iot/sensor/temperatura","21.1","192.168.1.2","-"
"Apr 26, 2025 @ 05:04:39.780","-",mqtt,"iot/sensor/temperatura","20.84","192.168.1.2","-"
"Apr 26, 2025 @ 05:04:39.780","-",mqtt,"iot/sensor/temperatura","20.84","192.168.1.2","-"
"Apr 26, 2025 @ 05:04:14.772","-",mqtt,"iot/sensor/temperatura","20.88","192.168.1.2","-"
"Apr 26, 2025 @ 05:04:14.772","-",mqtt,"iot/sensor/temperatura","20.88","192.168.1.2","-"
"Apr 26, 2025 @ 05:03:54.764","-",mqtt,"iot/sensor/temperatura","25.74","192.168.1.2","-"
"Apr 26, 2025 @ 05:03:54.764","-",mqtt,"iot/sensor/temperatura","25.74","192.168.1.2","-"
"Apr 26, 2025 @ 05:03:32.756","-",mqtt,"iot/sensor/temperatura","28.0","192.168.1.2","-"
"Apr 26, 2025 @ 05:03:32.756","-",mqtt,"iot/sensor/temperatura","28.0","192.168.1.2","-"
"Apr 26, 2025 @ 05:03:06.747","-",mqtt,"iot/sensor/temperatura","22.41","192.168.1.2","-"
"Apr 26, 2025 @ 05:03:06.747","-",mqtt,"iot/sensor/temperatura","22.41","192.168.1.2","-"
"Apr 26, 2025 @ 05:02:44.739","-",mqtt,"iot/sensor/temperatura","26.8","192.168.1.2","-"
"Apr 26, 2025 @ 05:02:44.739","-",mqtt,"iot/sensor/temperatura","26.8","192.168.1.2","-"
"Apr 26, 2025 @ 05:02:08.726","-",mqtt,"iot/sensor/temperatura","25.35","192.168.1.2","-"
"Apr 26, 2025 @ 05:02:08.726","-",mqtt,"iot/sensor/temperatura","25.35","192.168.1.2","-"
"Apr 26, 2025 @ 05:01:45.717","-",mqtt,"iot/sensor/temperatura","22.39","192.168.1.2","-"
"Apr 26, 2025 @ 05:01:45.717","-",mqtt,"iot/sensor/temperatura","22.39","192.168.1.2","-"
"Apr 26, 2025 @ 05:01:05.703","-",mqtt,"iot/sensor/temperatura","27.57","192.168.1.2","-"
"Apr 26, 2025 @ 05:01:05.703","-",mqtt,"iot/sensor/temperatura","27.57","192.168.1.2","-"
"Apr 26, 2025 @ 05:00:25.688","-",mqtt,"iot/sensor/temperatura","29.36","192.168.1.2","-"
"Apr 26, 2025 @ 05:00:25.688","-",mqtt,"iot/sensor/temperatura","29.36","192.168.1.2","-"
"Apr 26, 2025 @ 04:59:50.676","-",mqtt,"iot/sensor/temperatura","28.34","192.168.1.2","-"
"Apr 26, 2025 @ 04:59:50.676","-",mqtt,"iot/sensor/temperatura","28.34","192.168.1.2","-"
"Apr 26, 2025 @ 04:59:16.664","-",mqtt,"iot/sensor/temperatura","28.96","192.168.1.2","-"
"Apr 26, 2025 @ 04:59:16.664","-",mqtt,"iot/sensor/temperatura","28.96","192.168.1.2","-"
"Apr 26, 2025 @ 04:58:46.653","-",mqtt,"iot/sensor/temperatura","29.76","192.168.1.2","-"
"Apr 26, 2025 @ 04:58:46.653","-",mqtt,"iot/sensor/temperatura","29.76","192.168.1.2","-"
"Apr 26, 2025 @ 04:58:07.640","-",mqtt,"iot/sensor/temperatura","27.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:58:07.640","-",mqtt,"iot/sensor/temperatura","27.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:57:27.625","-",mqtt,"iot/sensor/temperatura","28.73","192.168.1.2","-"
"Apr 26, 2025 @ 04:57:27.625","-",mqtt,"iot/sensor/temperatura","28.73","192.168.1.2","-"
"Apr 26, 2025 @ 04:56:48.611","-",mqtt,"iot/sensor/temperatura","27.51","192.168.1.2","-"
"Apr 26, 2025 @ 04:56:48.610","-",mqtt,"iot/sensor/temperatura","27.51","192.168.1.2","-"
"Apr 26, 2025 @ 04:56:09.596","-",mqtt,"iot/sensor/temperatura","20.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:56:09.596","-",mqtt,"iot/sensor/temperatura","20.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:55:31.582","-",mqtt,"iot/sensor/temperatura","22.67","192.168.1.2","-"
"Apr 26, 2025 @ 04:55:31.582","-",mqtt,"iot/sensor/temperatura","22.67","192.168.1.2","-"
"Apr 26, 2025 @ 04:55:09.574","-",mqtt,"iot/sensor/temperatura","24.14","192.168.1.2","-"
"Apr 26, 2025 @ 04:55:09.574","-",mqtt,"iot/sensor/temperatura","24.14","192.168.1.2","-"
"Apr 26, 2025 @ 04:54:29.559","-",mqtt,"iot/sensor/temperatura","23.34","192.168.1.2","-"
"Apr 26, 2025 @ 04:54:29.559","-",mqtt,"iot/sensor/temperatura","23.34","192.168.1.2","-"
"Apr 26, 2025 @ 04:53:58.547","-",mqtt,"iot/sensor/temperatura","22.37","192.168.1.2","-"
"Apr 26, 2025 @ 04:53:58.547","-",mqtt,"iot/sensor/temperatura","22.37","192.168.1.2","-"
"Apr 26, 2025 @ 04:53:21.533","-",mqtt,"iot/sensor/temperatura","29.71","192.168.1.2","-"
"Apr 26, 2025 @ 04:53:21.533","-",mqtt,"iot/sensor/temperatura","29.71","192.168.1.2","-"
"Apr 26, 2025 @ 04:52:59.525","-",mqtt,"iot/sensor/temperatura","28.36","192.168.1.2","-"
"Apr 26, 2025 @ 04:52:59.525","-",mqtt,"iot/sensor/temperatura","28.36","192.168.1.2","-"
"Apr 26, 2025 @ 04:52:23.511","-",mqtt,"iot/sensor/temperatura","21.75","192.168.1.2","-"
"Apr 26, 2025 @ 04:52:23.511","-",mqtt,"iot/sensor/temperatura","21.75","192.168.1.2","-"
"Apr 26, 2025 @ 04:51:43.492","-",mqtt,"iot/sensor/temperatura","29.51","192.168.1.2","-"
"Apr 26, 2025 @ 04:51:43.492","-",mqtt,"iot/sensor/temperatura","29.51","192.168.1.2","-"
"Apr 26, 2025 @ 04:51:13.477","-",mqtt,"iot/sensor/temperatura","25.3","192.168.1.2","-"
"Apr 26, 2025 @ 04:51:13.477","-",mqtt,"iot/sensor/temperatura","25.3","192.168.1.2","-"
"Apr 26, 2025 @ 04:50:50.467","-",mqtt,"iot/sensor/temperatura","19.36","192.168.1.2","-"
"Apr 26, 2025 @ 04:50:50.467","-",mqtt,"iot/sensor/temperatura","19.36","192.168.1.2","-"
"Apr 26, 2025 @ 04:50:25.456","-",mqtt,"iot/sensor/temperatura","18.72","192.168.1.2","-"
"Apr 26, 2025 @ 04:50:25.456","-",mqtt,"iot/sensor/temperatura","18.72","192.168.1.2","-"
"Apr 26, 2025 @ 04:50:01.445","-",mqtt,"iot/sensor/temperatura","25.43","192.168.1.2","-"
"Apr 26, 2025 @ 04:50:01.445","-",mqtt,"iot/sensor/temperatura","25.43","192.168.1.2","-"
"Apr 26, 2025 @ 04:49:39.434","-",mqtt,"iot/sensor/temperatura","25.36","192.168.1.2","-"
"Apr 26, 2025 @ 04:49:39.434","-",mqtt,"iot/sensor/temperatura","25.36","192.168.1.2","-"
"Apr 26, 2025 @ 04:49:07.419","-",mqtt,"iot/sensor/temperatura","27.8","192.168.1.2","-"
"Apr 26, 2025 @ 04:49:07.419","-",mqtt,"iot/sensor/temperatura","27.8","192.168.1.2","-"
"Apr 26, 2025 @ 04:48:29.401","-",mqtt,"iot/sensor/temperatura","20.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:48:29.401","-",mqtt,"iot/sensor/temperatura","20.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:48:08.392","-",mqtt,"iot/sensor/temperatura","20.66","192.168.1.2","-"
"Apr 26, 2025 @ 04:48:08.391","-",mqtt,"iot/sensor/temperatura","20.66","192.168.1.2","-"
"Apr 26, 2025 @ 04:47:45.379","-",mqtt,"iot/sensor/temperatura","26.27","192.168.1.2","-"
"Apr 26, 2025 @ 04:47:45.379","-",mqtt,"iot/sensor/temperatura","26.27","192.168.1.2","-"
"Apr 26, 2025 @ 04:47:25.369","-",mqtt,"iot/sensor/temperatura","20.76","192.168.1.2","-"
"Apr 26, 2025 @ 04:47:25.369","-",mqtt,"iot/sensor/temperatura","20.76","192.168.1.2","-"
"Apr 26, 2025 @ 04:46:57.353","-",mqtt,"iot/sensor/temperatura","20.67","192.168.1.2","-"
"Apr 26, 2025 @ 04:46:57.353","-",mqtt,"iot/sensor/temperatura","20.67","192.168.1.2","-"
"Apr 26, 2025 @ 04:46:37.344","-",mqtt,"iot/sensor/temperatura","22.63","192.168.1.2","-"
"Apr 26, 2025 @ 04:46:37.344","-",mqtt,"iot/sensor/temperatura","22.63","192.168.1.2","-"
"Apr 26, 2025 @ 04:46:04.329","-",mqtt,"iot/sensor/temperatura","22.72","192.168.1.2","-"
"Apr 26, 2025 @ 04:46:04.329","-",mqtt,"iot/sensor/temperatura","22.72","192.168.1.2","-"
"Apr 26, 2025 @ 04:45:36.316","-",mqtt,"iot/sensor/temperatura","20.54","192.168.1.2","-"
"Apr 26, 2025 @ 04:45:36.316","-",mqtt,"iot/sensor/temperatura","20.54","192.168.1.2","-"
"Apr 26, 2025 @ 04:45:04.300","-",mqtt,"iot/sensor/temperatura","21.28","192.168.1.2","-"
"Apr 26, 2025 @ 04:45:04.300","-",mqtt,"iot/sensor/temperatura","21.28","192.168.1.2","-"
"Apr 26, 2025 @ 04:44:24.282","-",mqtt,"iot/sensor/temperatura","18.77","192.168.1.2","-"
"Apr 26, 2025 @ 04:44:24.282","-",mqtt,"iot/sensor/temperatura","18.77","192.168.1.2","-"
"Apr 26, 2025 @ 04:43:52.264","-",mqtt,"iot/sensor/temperatura","24.42","192.168.1.2","-"
"Apr 26, 2025 @ 04:43:52.264","-",mqtt,"iot/sensor/temperatura","24.42","192.168.1.2","-"
"Apr 26, 2025 @ 04:43:26.251","-",mqtt,"iot/sensor/temperatura","19.11","192.168.1.2","-"
"Apr 26, 2025 @ 04:43:26.251","-",mqtt,"iot/sensor/temperatura","19.11","192.168.1.2","-"
"Apr 26, 2025 @ 04:43:01.238","-",mqtt,"iot/sensor/temperatura","18.15","192.168.1.2","-"
"Apr 26, 2025 @ 04:43:01.238","-",mqtt,"iot/sensor/temperatura","18.15","192.168.1.2","-"
"Apr 26, 2025 @ 04:42:27.223","-",mqtt,"iot/sensor/temperatura","18.64","192.168.1.2","-"
"Apr 26, 2025 @ 04:42:27.222","-",mqtt,"iot/sensor/temperatura","18.64","192.168.1.2","-"
"Apr 26, 2025 @ 04:42:04.212","-",mqtt,"iot/sensor/temperatura","19.57","192.168.1.2","-"
"Apr 26, 2025 @ 04:42:04.212","-",mqtt,"iot/sensor/temperatura","19.57","192.168.1.2","-"
"Apr 26, 2025 @ 04:41:38.199","-",mqtt,"iot/sensor/temperatura","29.52","192.168.1.2","-"
"Apr 26, 2025 @ 04:41:38.199","-",mqtt,"iot/sensor/temperatura","29.52","192.168.1.2","-"
"Apr 26, 2025 @ 04:41:13.187","-",mqtt,"iot/sensor/temperatura","19.6","192.168.1.2","-"
"Apr 26, 2025 @ 04:41:13.187","-",mqtt,"iot/sensor/temperatura","19.6","192.168.1.2","-"
"Apr 26, 2025 @ 04:40:33.168","-",mqtt,"iot/sensor/temperatura","27.9","192.168.1.2","-"
"Apr 26, 2025 @ 04:40:33.168","-",mqtt,"iot/sensor/temperatura","27.9","192.168.1.2","-"
"Apr 26, 2025 @ 04:40:01.152","-",mqtt,"iot/sensor/temperatura","21.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:40:01.152","-",mqtt,"iot/sensor/temperatura","21.17","192.168.1.2","-"
"Apr 26, 2025 @ 04:39:36.140","-",mqtt,"iot/sensor/temperatura","26.84","192.168.1.2","-"
"Apr 26, 2025 @ 04:39:36.140","-",mqtt,"iot/sensor/temperatura","26.84","192.168.1.2","-"
"Apr 26, 2025 @ 04:39:00.122","-",mqtt,"iot/sensor/temperatura","22.23","192.168.1.2","-"
"Apr 26, 2025 @ 04:39:00.122","-",mqtt,"iot/sensor/temperatura","22.23","192.168.1.2","-"
"Apr 26, 2025 @ 04:38:38.112","-",mqtt,"iot/sensor/temperatura","27.27","192.168.1.2","-"
"Apr 26, 2025 @ 04:38:38.111","-",mqtt,"iot/sensor/temperatura","27.27","192.168.1.2","-"
"Apr 26, 2025 @ 04:38:13.099","-",mqtt,"iot/sensor/temperatura","26.9","192.168.1.2","-"
"Apr 26, 2025 @ 04:38:13.099","-",mqtt,"iot/sensor/temperatura","26.9","192.168.1.2","-"
"Apr 26, 2025 @ 04:37:44.085","-",mqtt,"iot/sensor/temperatura","22.52","192.168.1.2","-"
"Apr 26, 2025 @ 04:37:44.085","-",mqtt,"iot/sensor/temperatura","22.52","192.168.1.2","-"
"Apr 26, 2025 @ 04:37:22.074","-",mqtt,"iot/sensor/temperatura","25.02","192.168.1.2","-"
"Apr 26, 2025 @ 04:37:22.074","-",mqtt,"iot/sensor/temperatura","25.02","192.168.1.2","-"
"Apr 26, 2025 @ 04:36:49.057","-",mqtt,"iot/sensor/temperatura","27.47","192.168.1.2","-"
"Apr 26, 2025 @ 04:36:49.057","-",mqtt,"iot/sensor/temperatura","27.47","192.168.1.2","-"
"Apr 26, 2025 @ 04:36:11.040","-",mqtt,"iot/sensor/temperatura","18.86","192.168.1.2","-"
"Apr 26, 2025 @ 04:36:11.040","-",mqtt,"iot/sensor/temperatura","18.86","192.168.1.2","-"
"Apr 26, 2025 @ 04:35:51.028","-",mqtt,"iot/sensor/temperatura","18.8","192.168.1.2","-"
"Apr 26, 2025 @ 04:35:51.028","-",mqtt,"iot/sensor/temperatura","18.8","192.168.1.2","-"
"Apr 26, 2025 @ 04:35:22.015","-",mqtt,"iot/sensor/temperatura","18.9","192.168.1.2","-"
"Apr 26, 2025 @ 04:35:22.014","-",mqtt,"iot/sensor/temperatura","18.9","192.168.1.2","-"
"Apr 26, 2025 @ 04:34:56.001","-",mqtt,"iot/sensor/temperatura","29.45","192.168.1.2","-"
"Apr 26, 2025 @ 04:34:56.001","-",mqtt,"iot/sensor/temperatura","29.45","192.168.1.2","-"
"Apr 26, 2025 @ 04:34:23.985","-",mqtt,"iot/sensor/temperatura","20.94","192.168.1.2","-"
"Apr 26, 2025 @ 04:34:23.985","-",mqtt,"iot/sensor/temperatura","20.94","192.168.1.2","-"
"Apr 26, 2025 @ 04:33:58.970","-",mqtt,"iot/sensor/temperatura","24.45","192.168.1.2","-"
"Apr 26, 2025 @ 04:33:58.970","-",mqtt,"iot/sensor/temperatura","24.45","192.168.1.2","-"
"Apr 26, 2025 @ 04:33:30.956","-",mqtt,"iot/sensor/temperatura","19.62","192.168.1.2","-"
"Apr 26, 2025 @ 04:33:30.956","-",mqtt,"iot/sensor/temperatura","19.62","192.168.1.2","-"
"Apr 26, 2025 @ 04:33:08.947","-",mqtt,"iot/sensor/temperatura","20.02","192.168.1.2","-"
"Apr 26, 2025 @ 04:33:08.947","-",mqtt,"iot/sensor/temperatura","20.02","192.168.1.2","-"
"Apr 26, 2025 @ 04:32:40.932","-",mqtt,"iot/sensor/temperatura","22.91","192.168.1.2","-"
"Apr 26, 2025 @ 04:32:40.932","-",mqtt,"iot/sensor/temperatura","22.91","192.168.1.2","-"
"Apr 26, 2025 @ 04:32:00.913","-",mqtt,"iot/sensor/temperatura","26.04","192.168.1.2","-"
"Apr 26, 2025 @ 04:32:00.913","-",mqtt,"iot/sensor/temperatura","26.04","192.168.1.2","-"
"Apr 26, 2025 @ 04:31:31.900","-",mqtt,"iot/sensor/temperatura","22.46","192.168.1.2","-"
"Apr 26, 2025 @ 04:31:31.900","-",mqtt,"iot/sensor/temperatura","22.46","192.168.1.2","-"
"Apr 26, 2025 @ 04:30:56.883","-",mqtt,"iot/sensor/temperatura","18.85","192.168.1.2","-"
"Apr 26, 2025 @ 04:30:56.883","-",mqtt,"iot/sensor/temperatura","18.85","192.168.1.2","-"
"Apr 26, 2025 @ 04:30:33.873","-",mqtt,"iot/sensor/temperatura","27.81","192.168.1.2","-"
"Apr 26, 2025 @ 04:30:33.873","-",mqtt,"iot/sensor/temperatura","27.81","192.168.1.2","-"
"Apr 26, 2025 @ 04:30:11.864","-",mqtt,"iot/sensor/temperatura","21.78","192.168.1.2","-"
"Apr 26, 2025 @ 04:30:11.864","-",mqtt,"iot/sensor/temperatura","21.78","192.168.1.2","-"
"Apr 26, 2025 @ 04:29:40.851","-",mqtt,"iot/sensor/temperatura","25.58","192.168.1.2","-"
"Apr 26, 2025 @ 04:29:40.850","-",mqtt,"iot/sensor/temperatura","25.58","192.168.1.2","-"
"Apr 26, 2025 @ 04:29:17.839","-",mqtt,"iot/sensor/temperatura","28.16","192.168.1.2","-"
"Apr 26, 2025 @ 04:29:17.839","-",mqtt,"iot/sensor/temperatura","28.16","192.168.1.2","-"
"Apr 26, 2025 @ 04:28:40.821","-",mqtt,"iot/sensor/temperatura","25.26","192.168.1.2","-"
"Apr 26, 2025 @ 04:28:40.821","-",mqtt,"iot/sensor/temperatura","25.26","192.168.1.2","-"
"Apr 26, 2025 @ 04:28:07.805","-",mqtt,"iot/sensor/temperatura","27.77","192.168.1.2","-"
"Apr 26, 2025 @ 04:28:07.805","-",mqtt,"iot/sensor/temperatura","27.77","192.168.1.2","-"
"Apr 26, 2025 @ 04:27:37.790","-",mqtt,"iot/sensor/temperatura","28.68","192.168.1.2","-"
"Apr 26, 2025 @ 04:27:37.790","-",mqtt,"iot/sensor/temperatura","28.68","192.168.1.2","-"
"Apr 26, 2025 @ 04:27:02.773","-",mqtt,"iot/sensor/temperatura","19.16","192.168.1.2","-"
"Apr 26, 2025 @ 04:27:02.772","-",mqtt,"iot/sensor/temperatura","19.16","192.168.1.2","-"
"Apr 26, 2025 @ 04:26:29.755","-",mqtt,"iot/sensor/temperatura","19.71","192.168.1.2","-"
"Apr 26, 2025 @ 04:26:29.755","-",mqtt,"iot/sensor/temperatura","19.71","192.168.1.2","-"
"Apr 26, 2025 @ 04:26:00.740","-",mqtt,"iot/sensor/temperatura","22.71","192.168.1.2","-"
"Apr 26, 2025 @ 04:26:00.740","-",mqtt,"iot/sensor/temperatura","22.71","192.168.1.2","-"
"Apr 26, 2025 @ 04:25:22.721","-",mqtt,"iot/sensor/temperatura","22.33","192.168.1.2","-"
"Apr 26, 2025 @ 04:25:22.721","-",mqtt,"iot/sensor/temperatura","22.33","192.168.1.2","-"
"Apr 26, 2025 @ 04:24:54.707","-",mqtt,"iot/sensor/temperatura","25.11","192.168.1.2","-"
"Apr 26, 2025 @ 04:24:54.707","-",mqtt,"iot/sensor/temperatura","25.11","192.168.1.2","-"
"Apr 26, 2025 @ 04:24:14.686","-",mqtt,"iot/sensor/temperatura","18.54","192.168.1.2","-"
"Apr 26, 2025 @ 04:24:14.686","-",mqtt,"iot/sensor/temperatura","18.54","192.168.1.2","-"
"Apr 26, 2025 @ 04:23:46.671","-",mqtt,"iot/sensor/temperatura","19.06","192.168.1.2","-"
"Apr 26, 2025 @ 04:23:46.671","-",mqtt,"iot/sensor/temperatura","19.06","192.168.1.2","-"
