"@timestamp","alert.signature","event_type","mqtt.publish.topic","mqtt.publish.message"
"Apr 25, 2025 @ 23:10:47.296","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:10:47.295","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:09:59.272","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:09:59.272","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:09:30.258","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:09:30.258","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:08:44.236","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:08:44.236","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:07:56.210","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:07:56.210","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:07:15.190","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:07:15.190","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:06:32.170","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:06:32.170","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:05:37.145","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:05:37.144","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:04:50.122","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:04:50.122","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:03:53.095","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:03:53.095","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:03:04.070","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:03:04.070","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:02:14.048","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:02:14.047","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 23:01:36.030","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:01:36.030","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:01:06.016","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:01:06.016","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:00:15.992","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 23:00:15.992","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:59:35.974","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:59:35.974","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:58:46.951","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:58:46.951","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:57:48.924","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:57:48.924","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:57:00.901","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:57:00.900","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:56:12.878","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:56:12.878","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:55:26.856","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:55:26.856","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:54:49.839","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:54:49.839","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:54:01.818","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:54:01.818","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:53:26.801","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:53:26.801","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:52:34.777","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:52:34.777","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:51:53.757","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:51:53.757","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:50:59.730","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:50:59.730","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:50:08.705","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:50:08.705","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:49:20.683","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:49:20.683","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:48:42.666","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:48:42.666","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:48:04.647","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:48:04.647","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:47:28.629","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:47:28.629","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:46:29.602","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:46:29.602","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:45:43.579","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:45:43.579","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:44:46.551","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:44:46.551","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:44:04.529","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:44:04.529","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:43:05.500","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:43:05.500","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:42:12.473","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:42:12.473","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:41:27.451","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:41:27.451","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:40:46.428","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:40:46.428","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:40:11.410","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:40:11.410","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:39:21.386","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:39:21.385","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:38:48.369","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:38:48.369","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:37:52.343","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:37:52.343","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:37:22.328","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:37:22.328","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:36:50.315","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:36:50.315","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:36:13.297","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:36:13.297","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:35:23.272","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:35:23.272","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:34:53.258","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:34:53.258","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:34:18.242","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:34:18.242","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:33:43.224","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:33:43.224","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:32:55.201","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:32:55.201","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:32:06.179","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:32:06.178","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:31:06.150","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:31:06.150","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:30:16.128","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:30:16.128","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:29:40.109","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:29:40.109","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:28:53.087","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:28:53.087","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:28:05.065","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:28:05.065","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:27:25.047","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:27:25.047","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:26:36.026","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:26:36.026","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:26:04.010","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:26:04.009","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:25:06.984","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:25:06.984","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:24:27.965","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:24:27.965","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:23:50.948","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:23:50.948","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:23:05.927","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:23:05.927","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:22:31.912","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:22:31.912","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:21:35.887","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:21:35.886","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:20:38.860","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:20:38.860","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:19:50.837","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:19:50.837","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:19:15.820","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:19:15.820","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:18:42.805","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:18:42.805","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:18:11.790","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:18:11.790","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:17:17.762","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:17:17.762","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:16:45.748","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:16:45.747","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:15:52.721","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:15:52.721","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:15:11.701","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:15:11.701","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:14:30.681","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:14:30.681","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:13:56.665","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:13:56.665","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:13:07.640","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:13:07.639","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:12:10.608","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:12:10.608","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:11:31.589","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:11:31.589","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:10:54.571","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:10:54.571","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:10:07.545","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:10:07.545","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:09:27.526","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:09:27.526","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:08:56.512","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:08:56.512","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:08:13.490","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:08:13.490","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:07:40.475","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:07:40.475","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:06:49.451","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:06:49.451","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:05:53.423","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:05:53.423","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:05:00.398","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:05:00.398","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:04:09.372","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:04:09.372","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:03:25.350","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:03:25.350","-",mqtt,"iot/sensor/movimiento",ON
"Apr 25, 2025 @ 22:02:44.330","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:02:44.330","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:01:49.304","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:01:49.303","-",mqtt,"iot/sensor/movimiento",OFF
"Apr 25, 2025 @ 22:00:54.277","-",mqtt,"iot/sensor/movimiento",ON
